,eventID,year,longitude,latitude,magnitude
3100,10003101,1937,97.761,35.331,7.81
3101,10003102,1937,97.98,35.399,5.79
3121,10003122,1937,97.994,35.492,5.74
3132,10003133,1937,98.279,25.502,5.65
3142,10003143,1937,91.947,28.386,5.52
3150,10003151,1937,93.461,26.057,5.84
3254,10003255,1937,90.551,29.749,5.82
3267,10003268,1937,96.731,25.957,6.5
3274,10003275,1937,94.324,25.209,5.65
3281,10003282,1937,101.708,20.222,5.98
3328,10003329,1937,99.336,34.888,5.46
3361,10003362,1937,111.289,55.639,5.96
3362,10003363,1937,110.0,57.0,6.0
3371,10003372,1938,96.867,33.766,5.58
3373,10003374,1938,96.584,45.836,5.72
3412,10003413,1938,97.094,50.727,5.81
3414,10003415,1938,91.203,27.999,5.62
3429,10003430,1938,103.454,32.166,6.13
3442,10003443,1938,99.886,35.174,5.74
3445,10003446,1938,94.4628,23.2276,6.8
3467,10003468,1938,94.242,24.213,5.5
3477,10003478,1938,99.774,22.881,6.16
3545,10003546,1938,93.912,22.723,7.02
3550,10003551,1938,98.624,37.397,5.95
3551,10003552,1938,92.421,32.227,5.88
3576,10003577,1938,91.044,49.688,5.63
3600,10003601,1938,89.72,49.081,6.96
3609,10003610,1938,101.221,23.219,5.77
3657,10003658,1938,95.138,29.889,6.26
3672,10003673,1938,90.357,33.208,6.11
3690,10003691,1938,92.535,47.738,6.42
3820,10003821,1939,98.0,50.5,5.6
3821,10003822,1939,98.619,52.268,5.86
3828,10003829,1939,108.762,53.7,6.12
3831,10003832,1939,94.051,24.414,6.15
3851,10003852,1939,93.252,23.327,5.88
3856,10003857,1939,91.815,45.229,5.65
4006,10004007,1940,99.072,35.314,5.96
4029,10004030,1940,93.861,32.593,5.66
4062,10004063,1940,102.367,23.836,5.98
4091,10004092,1940,94.295,23.409,5.86
4179,10004180,1940,90.748,34.721,5.93
4186,10004187,1940,91.568,30.49,6.21
4187,10004188,1940,91.384,30.885,5.87
4188,10004189,1940,90.87,33.855,5.9
4202,10004203,1940,111.89,56.184,5.79
4216,10004217,1940,91.658,30.851,6.21
4238,10004239,1940,104.5,29.5,5.6
4239,10004240,1940,103.702,28.714,5.96
4295,10004296,1941,91.794,27.169,6.43
4300,10004301,1941,91.875,26.699,6.04
4315,10004316,1941,96.887,28.305,5.72
4357,10004358,1941,97.156,38.985,6.18
4375,10004376,1941,98.59,25.662,5.77
4379,10004380,1941,99.202,23.722,6.7
4382,10004383,1941,93.087,26.681,5.53
4392,10004393,1941,103.592,30.229,5.75
4407,10004408,1941,93.093,12.666,6.04
4412,10004413,1941,92.557,12.08,5.83
4413,10004414,1941,106.953,52.813,5.81
4415,10004416,1941,93.026,12.085,5.53
4450,10004451,1941,92.706,12.2,5.8
4466,10004467,1941,92.761,12.954,5.73
4469,10004470,1941,91.984,27.114,5.45
4498,10004499,1941,103.053,31.696,5.83
4502,10004503,1941,93.163,12.506,5.51
4505,10004506,1941,98.329,25.462,6.01
4537,10004538,1941,90.271,43.831,5.74
4544,10004545,1941,99.813,22.346,6.92
4556,10004557,1942,101.348,22.247,6.36
4651,10004652,1942,95.888,17.855,5.65
4663,10004664,1942,96.142,30.308,5.74
4685,10004686,1942,92.945,13.184,5.5
